2023-01-03,AAPL,150.00,152.50,149.50,152.00,10000000
2023-01-04,AAPL,152.00,153.00,151.00,152.50,9000000
2023-01-05,AAPL,152.50,154.00,152.00,153.50,11000000
2023-01-06,AAPL,153.50,155.00,153.00,154.50,12000000
2023-01-09,AAPL,154.50,155.50,153.50,154.00,10500000
2023-01-10,AAPL,154.00,155.00,153.00,154.50,9500000
2023-01-11,AAPL,154.50,156.00,154.00,155.50,11500000
2023-01-12,AAPL,155.50,157.00,155.00,156.50,12500000
2023-01-13,AAPL,156.50,157.50,156.00,157.00,11000000
2023-01-16,AAPL,157.00,158.00,156.50,157.50,10000000
2023-01-17,AAPL,157.50,158.50,157.00,158.00,9000000
2023-01-18,AAPL,158.00,159.00,157.50,158.50,11000000
2023-01-19,AAPL,158.50,160.00,158.00,159.50,12000000
2023-01-20,AAPL,159.50,160.50,159.00,160.00,10500000
2023-01-23,AAPL,160.00,161.00,159.50,160.50,9500000
2023-01-24,AAPL,160.50,162.00,160.00,161.50,11500000
2023-01-25,AAPL,161.50,163.00,161.00,162.50,12500000
2023-01-26,AAPL,162.50,164.00,162.00,163.50,13000000
2023-01-27,AAPL,163.50,165.00,163.00,164.50,12000000
2023-01-30,AAPL,164.50,166.00,164.00,165.50,11000000
2023-01-31,AAPL,165.50,167.00,165.00,166.00,10000000
2023-02-01,AAPL,166.00,167.50,165.50,167.00,9500000
2023-02-02,AAPL,167.00,168.00,166.50,167.50,10500000
2023-02-03,AAPL,167.50,169.00,167.00,168.50,11500000
2023-02-06,AAPL,168.50,170.00,168.00,169.50,12500000
2023-02-07,AAPL,169.50,171.00,169.00,170.50,13000000
2023-02-08,AAPL,170.50,172.00,170.00,171.50,12000000
2023-02-09,AAPL,171.50,173.00,171.00,172.50,11000000
2023-02-10,AAPL,172.50,174.00,172.00,173.50,10000000
2023-02-13,AAPL,173.50,175.00,173.00,174.00,9500000
2023-02-14,AAPL,174.00,175.50,173.50,175.00,10500000
2023-02-15,AAPL,175.00,176.00,174.50,175.50,11500000
2023-02-16,AAPL,175.50,177.00,175.00,176.50,12500000
2023-02-17,AAPL,176.50,178.00,176.00,177.50,13000000
2023-02-20,AAPL,177.50,179.00,177.00,178.00,12000000
2023-02-21,AAPL,178.00,180.00,177.50,179.00,11000000
2023-02-22,AAPL,179.00,181.00,178.50,180.00,10000000
2023-02-23,AAPL,180.00,182.00,179.50,181.00,9500000
2023-02-24,AAPL,181.00,183.00,180.50,182.00,10500000
2023-02-27,AAPL,182.00,184.00,181.50,183.00,11500000
2023-02-28,AAPL,183.00,185.00,182.50,184.00,12500000
2023-03-01,AAPL,184.00,186.00,183.50,185.00,13000000
2023-03-02,AAPL,185.00,187.00,184.50,186.00,12000000
2023-03-03,AAPL,186.00,188.00,185.50,187.00,11000000
2023-03-06,AAPL,187.00,189.00,186.50,188.00,10000000
2023-03-07,AAPL,188.00,190.00,187.50,189.00,9500000
2023-03-08,AAPL,189.00,191.00,188.50,190.00,10500000
2023-03-09,AAPL,190.00,192.00,189.50,191.00,11500000
2023-03-10,AAPL,191.00,193.00,190.50,192.00,12500000
2023-03-13,AAPL,192.00,194.00,191.50,193.00,13000000
2023-03-14,AAPL,193.00,195.00,192.50,194.00,12000000
2023-03-15,AAPL,194.00,196.00,193.50,195.00,11000000
2023-03-16,AAPL,195.00,197.00,194.50,196.00,10000000
2023-03-17,AAPL,196.00,198.00,195.50,197.00,9500000
2023-03-20,AAPL,197.00,199.00,196.50,198.00,10500000
2023-03-21,AAPL,198.00,200.00,197.50,199.00,11500000
2023-03-22,AAPL,199.00,201.00,198.50,200.00,12500000
2023-03-23,AAPL,200.00,202.00,199.50,201.00,13000000
2023-03-24,AAPL,201.00,203.00,200.50,202.00,12000000
2023-03-27,AAPL,202.00,204.00,201.50,203.00,11000000
2023-03-28,AAPL,203.00,205.00,202.50,204.00,10000000
2023-03-29,AAPL,204.00,206.00,203.50,205.00,9500000
2023-03-30,AAPL,205.00,207.00,204.50,206.00,10500000
2023-03-31,AAPL,206.00,208.00,205.50,207.00,11500000
2023-04-03,AAPL,207.00,209.00,206.50,208.00,12500000
2023-04-04,AAPL,208.00,210.00,207.50,209.00,13000000
2023-04-05,AAPL,209.00,211.00,208.50,210.00,12000000
2023-04-06,AAPL,210.00,212.00,209.50,211.00,11000000
2023-04-07,AAPL,211.00,213.00,210.50,212.00,10000000
