1,101,2023-01-15,AAPL,buy,10,150.25,1502.50
2,102,2023-01-15,MSFT,buy,5,250.75,1253.75
3,101,2023-01-20,GOOG,buy,2,2200.50,4401.00
4,103,2023-01-22,AMZN,sell,15,180.10,2701.50
5,102,2023-01-25,AAPL,sell,5,155.00,775.00
6,104,2023-01-28,TSLA,buy,3,1000.00,3000.00
7,101,2023-02-01,GOOG,buy,5,2250.00,11250.00
8,103,2023-02-05,AMZN,buy,10,185.50,1855.00
9,102,2023-02-08,MSFT,sell,2,260.00,520.00
10,104,2023-02-10,TSLA,sell,1,1050.00,1050.00
11,101,2023-02-12,AAPL,sell,5,160.00,800.00
12,103,2023-02-15,AMZN,buy,5,190.00,950.00
13,102,2023-02-18,GOOG,buy,1,2300.00,2300.00
14,104,2023-02-20,TSLA,buy,2,1100.00,2200.00
15,101,2023-02-22,MSFT,buy,10,265.00,2650.00
16,103,2023-02-25,AAPL,sell,10,165.00,1650.00
17,102,2023-02-28,GOOG,sell,1,2350.00,2350.00
18,104,2023-03-02,TSLA,sell,2,1150.00,2300.00
19,101,2023-03-05,MSFT,sell,5,270.00,1350.00
20,103,2023-03-08,AMZN,sell,5,195.00,975.00
21,102,2023-03-10,AAPL,buy,15,170.00,2550.00
22,104,2023-03-12,GOOG,buy,3,2400.00,7200.00
23,101,2023-03-15,MSFT,buy,5,275.00,1375.00
24,103,2023-03-18,AMZN,buy,10,200.00,2000.00
25,102,2023-03-20,AAPL,sell,10,175.00,1750.00
26,104,2023-03-22,GOOG,sell,1,2450.00,2450.00
27,101,2023-03-25,MSFT,sell,2,280.00,560.00
28,103,2023-03-28,TSLA,buy,5,1200.00,6000.00
29,102,2023-03-30,AAPL,buy,5,180.00,900.00
30,104,2023-04-01,GOOG,buy,2,2500.00,5000.00
31,101,2023-04-05,AMZN,buy,20,210.00,4200.00
32,103,2023-04-08,TSLA,sell,2,1250.00,2500.00
33,102,2023-04-10,AAPL,sell,5,185.00,925.00
34,104,2023-04-12,GOOG,sell,1,2550.00,2550.00
35,101,2023-04-15,AMZN,sell,10,215.00,2150.00
36,103,2023-04-18,MSFT,buy,15,285.00,4275.00
37,102,2023-04-20,AAPL,buy,10,190.00,1900.00
38,104,2023-04-22,TSLA,buy,3,1300.00,3900.00
39,101,2023-04-25,AMZN,buy,5,220.00,1100.00
40,103,2023-04-28,MSFT,sell,5,290.00,1450.00
41,102,2023-04-30,AAPL,sell,5,195.00,975.00
42,104,2023-05-02,TSLA,sell,1,1350.00,1350.00
43,101,2023-05-05,GOOG,buy,1,2600.00,2600.00
44,103,2023-05-08,MSFT,buy,10,295.00,2950.00
45,102,2023-05-10,AAPL,buy,2,200.00,400.00
46,104,2023-05-12,GOOG,sell,1,2650.00,2650.00
47,101,2023-05-15,AMZN,sell,5,225.00,1125.00
48,103,2023-05-18,MSFT,sell,5,300.00,1500.00
49,102,2023-05-20,AAPL,sell,2,205.00,410.00
50,104,2023-05-22,TSLA,buy,2,1400.00,2800.00
